Logger, Alex47517:         	Automatically truncated logfile to 1048576
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
Session, Alex47517:        	Garbage collected 2 incoming messages in DC 2, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateUserStatus
Session, Alex47517:        	Garbage collected 1 incoming messages in DC 2, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
UpdateHandler, Alex47517:  	Parsing updates (updates) received via the socket...
SeqLoop, Alex47517:        	Was fed updates of type updates...
UpdateHandler, Alex47517:  	Parsing updates (updates) received via the socket...
SeqLoop, Alex47517:        	Was fed updates of type updates...
FeedLoop, Alex47517:       	Resumed update feed loop channel 1624843640
UpdateHandler, Alex47517:  	Saving update of type updateNewChannelMessage
Session, Alex47517:        	Garbage collected 10 incoming messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 5 outgoing messages in DC 2, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
Session, Alex47517:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 3 outgoing messages in DC 2, 7 left
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
Session, Alex47517:        	Garbage collected 21 incoming messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 19 outgoing messages in DC 2, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
PingLoop, Alex47517:       	Ping DC 2.0
PingLoop, Alex47517:       	Ping DC 3.0
Session, Alex47517:        	Garbage collected 24 incoming messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 22 outgoing messages in DC 2, 1 left
Session, Alex47517:        	Garbage collected 0 outgoing messages in DC 3, 1 left
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
Session, Alex47517:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 1 outgoing messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 1 incoming messages in DC 3, 0 left
Session, Alex47517:        	Garbage collected 1 outgoing messages in DC 3, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
Session, Alex47517:        	Garbage collected 1 incoming messages in DC 2, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
Session, Alex47517:        	Garbage collected 21 incoming messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 23 outgoing messages in DC 2, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
Session, Alex47517:        	Garbage collected 1 incoming messages in DC 2, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
Session, Alex47517:        	Garbage collected 2 incoming messages in DC 2, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
Session, Alex47517:        	Garbage collected 1 incoming messages in DC 2, 0 left
PingLoop, Alex47517:       	Ping DC 1.0
SessionPaths, Alex47517:   	Waiting for exclusive lock of /home/alex/websites/bot.sumdubot.pp.ua/test/madeline/session.madeline/safe.php.lock...
SessionPaths, Alex47517:   	Got exclusive lock of /home/alex/websites/bot.sumdubot.pp.ua/test/madeline/session.madeline/safe.php.lock...
SessionPaths, Alex47517:   	Waiting for exclusive lock of /home/alex/websites/bot.sumdubot.pp.ua/test/madeline/session.madeline/lightState.php.lock...
SessionPaths, Alex47517:   	Got exclusive lock of /home/alex/websites/bot.sumdubot.pp.ua/test/madeline/session.madeline/lightState.php.lock...
APIWrapper, Alex47517:     	Saved session!
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
Session, Alex47517:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 6 outgoing messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 1 incoming messages in DC 1, 0 left
Session, Alex47517:        	Garbage collected 1 outgoing messages in DC 1, 0 left
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateUserStatus
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
Session, Alex47517:        	Garbage collected 12 incoming messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 10 outgoing messages in DC 2, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
Session, Alex47517:        	Garbage collected 12 incoming messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 13 outgoing messages in DC 2, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
Session, Alex47517:        	Garbage collected 24 incoming messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 20 outgoing messages in DC 2, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
Session, Alex47517:        	Garbage collected 3 incoming messages in DC 2, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
Session, Alex47517:        	Garbage collected 22 incoming messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 22 outgoing messages in DC 2, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
Session, Alex47517:        	Garbage collected 3 incoming messages in DC 2, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
Session, Alex47517:        	Garbage collected 2 incoming messages in DC 2, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
PingLoop, Alex47517:       	Ping DC 4.0
Session, Alex47517:        	Garbage collected 1 incoming messages in DC 4, 0 left
Session, Alex47517:        	Garbage collected 1 outgoing messages in DC 4, 0 left
Session, Alex47517:        	Garbage collected 1 incoming messages in DC 2, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
Session, Alex47517:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 6 outgoing messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 3 outgoing messages in DC 2, 7 left
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
PingLoop, Alex47517:       	Ping DC 5.0
Session, Alex47517:        	Garbage collected 21 incoming messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 19 outgoing messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 1 incoming messages in DC 5, 0 left
Session, Alex47517:        	Garbage collected 1 outgoing messages in DC 5, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
Session, Alex47517:        	Garbage collected 22 incoming messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 20 outgoing messages in DC 2, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updates) received via the socket...
SeqLoop, Alex47517:        	Was fed updates of type updates...
UpdateHandler, Alex47517:  	Parsing updates (updates) received via the socket...
SeqLoop, Alex47517:        	Was fed updates of type updates...
FeedLoop, Alex47517:       	Resumed update feed loop channel 1624843640
UpdateHandler, Alex47517:  	Saving update of type updateNewChannelMessage
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
Session, Alex47517:        	Garbage collected 5 incoming messages in DC 2, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updates) received via the socket...
SeqLoop, Alex47517:        	Was fed updates of type updates...
UpdateHandler, Alex47517:  	Parsing updates (updates) received via the socket...
SeqLoop, Alex47517:        	Was fed updates of type updates...
FeedLoop, Alex47517:       	Resumed update feed loop channel 1624843640
UpdateHandler, Alex47517:  	Saving update of type updateNewChannelMessage
UpdateHandler, Alex47517:  	Parsing updates (updates) received via the socket...
SeqLoop, Alex47517:        	Was fed updates of type updates...
UpdateHandler, Alex47517:  	Parsing updates (updates) received via the socket...
SeqLoop, Alex47517:        	Was fed updates of type updates...
FeedLoop, Alex47517:       	Resumed update feed loop channel 1624843640
UpdateHandler, Alex47517:  	Saving update of type updateNewChannelMessage
Session, Alex47517:        	Garbage collected 6 incoming messages in DC 2, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
Session, Alex47517:        	Garbage collected 21 incoming messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 24 outgoing messages in DC 2, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
Session, Alex47517:        	Garbage collected 1 incoming messages in DC 2, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
Session, Alex47517:        	Garbage collected 1 incoming messages in DC 2, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
Session, Alex47517:        	Garbage collected 1 incoming messages in DC 2, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
Session, Alex47517:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 5 outgoing messages in DC 2, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updates) received via the socket...
SeqLoop, Alex47517:        	Was fed updates of type updates...
FeedLoop, Alex47517:       	Resumed update feed loop channel 1624843640
UpdateHandler, Alex47517:  	Saving update of type updateEditChannelMessage
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
Session, Alex47517:        	Garbage collected 22 incoming messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 22 outgoing messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 20 incoming messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 21 outgoing messages in DC 2, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updateShortMessage) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateNewMessage
Session, Alex47517:        	Garbage collected 1 incoming messages in DC 2, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateMessagePoll
Session, Alex47517:        	Garbage collected 22 incoming messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 23 outgoing messages in DC 2, 1 left
Session, Alex47517:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 1 outgoing messages in DC 2, 0 left
SessionPaths, Alex47517:   	Waiting for exclusive lock of /home/alex/websites/bot.sumdubot.pp.ua/test/madeline/session.madeline/safe.php.lock...
SessionPaths, Alex47517:   	Got exclusive lock of /home/alex/websites/bot.sumdubot.pp.ua/test/madeline/session.madeline/safe.php.lock...
SessionPaths, Alex47517:   	Waiting for exclusive lock of /home/alex/websites/bot.sumdubot.pp.ua/test/madeline/session.madeline/lightState.php.lock...
SessionPaths, Alex47517:   	Got exclusive lock of /home/alex/websites/bot.sumdubot.pp.ua/test/madeline/session.madeline/lightState.php.lock...
APIWrapper, Alex47517:     	Saved session!
Session, Alex47517:        	Garbage collected 6 incoming messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 6 outgoing messages in DC 2, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updates) received via the socket...
SeqLoop, Alex47517:        	Was fed updates of type updates...
UpdateHandler, Alex47517:  	Parsing updates (updates) received via the socket...
SeqLoop, Alex47517:        	Was fed updates of type updates...
FeedLoop, Alex47517:       	Resumed update feed loop channel 1624843640
UpdateHandler, Alex47517:  	Saving update of type updateEditChannelMessage
Session, Alex47517:        	Garbage collected 3 incoming messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 3 outgoing messages in DC 2, 7 left
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
Session, Alex47517:        	Garbage collected 21 incoming messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 20 outgoing messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 18 incoming messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 17 outgoing messages in DC 2, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updates) received via the socket...
SeqLoop, Alex47517:        	Was fed updates of type updates...
FeedLoop, Alex47517:       	Resumed update feed loop channel 1624843640
UpdateHandler, Alex47517:  	Saving update of type updateEditChannelMessage
Session, Alex47517:        	Garbage collected 14 incoming messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 18 outgoing messages in DC 2, 4 left
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
Session, Alex47517:        	Garbage collected 8 incoming messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 6 outgoing messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 6 incoming messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 5 outgoing messages in DC 2, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
UpdateHandler, Alex47517:  	Parsing updates (updates) received via the socket...
SeqLoop, Alex47517:        	Was fed updates of type updates...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
FeedLoop, Alex47517:       	Resumed update feed loop channel 1394505089
UpdateHandler, Alex47517:  	Saving update of type updateNewChannelMessage
Session, Alex47517:        	Garbage collected 3 incoming messages in DC 2, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateUserStatus
Session, Alex47517:        	Garbage collected 21 incoming messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 23 outgoing messages in DC 2, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
Session, Alex47517:        	Garbage collected 1 incoming messages in DC 2, 0 left
FeedLoop, Alex47517:       	Resumed update feed loop channel 1394505089
UpdateHandler, Alex47517:  	Parsing updates (updates) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateReadHistoryOutbox
Session, Alex47517:        	Garbage collected 21 incoming messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 22 outgoing messages in DC 2, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
Session, Alex47517:        	Garbage collected 1 incoming messages in DC 2, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateMessagePoll
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
Session, Alex47517:        	Garbage collected 16 incoming messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 17 outgoing messages in DC 2, 4 left
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateUserTyping
Session, Alex47517:        	Garbage collected 8 incoming messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 6 outgoing messages in DC 2, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateUserTyping
Session, Alex47517:        	Garbage collected 2 incoming messages in DC 2, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updateShortMessage) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateNewMessage
Session, Alex47517:        	Garbage collected 1 incoming messages in DC 2, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updates) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateReadHistoryInbox
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
Session, Alex47517:        	Garbage collected 8 incoming messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 6 outgoing messages in DC 2, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updates) received via the socket...
SeqLoop, Alex47517:        	Was fed updates of type updates...
FeedLoop, Alex47517:       	Resumed update feed loop channel 1624843640
UpdateHandler, Alex47517:  	Saving update of type updateNewChannelMessage
UpdateHandler, Alex47517:  	Parsing updates (updates) received via the socket...
SeqLoop, Alex47517:        	Was fed updates of type updates...
FeedLoop, Alex47517:       	Resumed update feed loop channel 1624843640
Session, Alex47517:        	Garbage collected 24 incoming messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 23 outgoing messages in DC 2, 0 left
PingLoop, Alex47517:       	Ping DC 2.0
PingLoop, Alex47517:       	Ping DC 3.0
Session, Alex47517:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 2 outgoing messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 1 incoming messages in DC 3, 0 left
Session, Alex47517:        	Garbage collected 1 outgoing messages in DC 3, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateUserTyping
Session, Alex47517:        	Garbage collected 21 incoming messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 18 outgoing messages in DC 2, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateUserTyping
UpdateHandler, Alex47517:  	Saving update of type updateMessagePoll
Session, Alex47517:        	Garbage collected 3 incoming messages in DC 2, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateUserStatus
UpdateHandler, Alex47517:  	Parsing updates (updates) received via the socket...
SeqLoop, Alex47517:        	Was fed updates of type updates...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateUserStatus
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateUserTyping
Session, Alex47517:        	Garbage collected 4 incoming messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 6 outgoing messages in DC 2, 10 left
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateUserTyping
Session, Alex47517:        	Garbage collected 22 incoming messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 18 outgoing messages in DC 2, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
Session, Alex47517:        	Garbage collected 1 incoming messages in DC 2, 0 left
UpdateHandler, Alex47517:  	Parsing updates (updateShortMessage) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateNewMessage
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
UpdateHandler, Alex47517:  	Parsing updates (updates) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateReadHistoryInbox
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
Session, Alex47517:        	Garbage collected 4 incoming messages in DC 2, 0 left
PingLoop, Alex47517:       	Ping DC 1.0
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
UpdateHandler, Alex47517:  	Saving update of type updateChannelUserTyping
Session, Alex47517:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session, Alex47517:        	Garbage collected 2 outgoing messages in DC 2, 4 left
Session, Alex47517:        	Garbage collected 1 incoming messages in DC 1, 0 left
Session, Alex47517:        	Garbage collected 1 outgoing messages in DC 1, 0 left
SessionPaths, Alex47517:   	Waiting for exclusive lock of /home/alex/websites/bot.sumdubot.pp.ua/test/madeline/session.madeline/safe.php.lock...
SessionPaths, Alex47517:   	Got exclusive lock of /home/alex/websites/bot.sumdubot.pp.ua/test/madeline/session.madeline/safe.php.lock...
SessionPaths, Alex47517:   	Waiting for exclusive lock of /home/alex/websites/bot.sumdubot.pp.ua/test/madeline/session.madeline/lightState.php.lock...
SessionPaths, Alex47517:   	Got exclusive lock of /home/alex/websites/bot.sumdubot.pp.ua/test/madeline/session.madeline/lightState.php.lock...
APIWrapper, Alex47517:     	Saved session!
UpdateHandler, Alex47517:  	Parsing updates (updateShort) received via the socket...
FeedLoop, Alex47517:       	Resumed update feed loop generic
